feature,source,
S_SVO,uriel,
S_SOV,uriel,
S_VSO,uriel,
S_VOS,uriel,
S_OVS,uriel,
S_OSV,uriel,
S_SUBJECT_BEFORE_VERB,uriel,
S_SUBJECT_AFTER_VERB,uriel,
S_OBJECT_AFTER_VERB,uriel,
S_OBJECT_BEFORE_VERB,uriel,
S_SUBJECT_BEFORE_OBJECT,uriel,
S_SUBJECT_AFTER_OBJECT,uriel,
P_VOICE,uriel,
P_VOICED_PLOSIVES,uriel,
P_VOICED_FRICATIVES,uriel,
P_EJECTIVES,uriel,
P_IMPLOSIVES,uriel,
P_GLOTTALIZED_RESONANTS,uriel,
P_UVULARS,uriel,
P_UVULAR_STOPS,uriel,
P_UVULAR_CONTINUANTS,uriel,
P_LATERALS,uriel,
P_LATERAL_L,uriel,
P_LATERAL_OBSTRUENTS,uriel,
P_NASAL_VOWELS,uriel,
P_FRONT_ROUND_VOWELS,uriel,
P_BILABIALS,uriel,
P_FRICATIVES,uriel,
P_NASALS,uriel,
P_LABIAL_VELARS,uriel,
P_CLICKS,uriel,
P_TH,uriel,
P_PHARYNGEALS,uriel,
P_COMPLEX_ONSETS,uriel,
P_TONE,uriel,
INV_OPEN_FRONT_UNROUNDED_VOWEL,uriel,
INV_VOICED_BILABIAL_PLOSIVE,uriel,
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_LABIODENTAL_FRICATIVE,uriel,
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_BILABIAL_FRICATIVE,uriel,
INV_VOICELESS_PALATAL_PLOSIVE,uriel,
INV_VOICELESS_PALATAL_PLOSIVE_WITH_VOICELESS_PALATAL_FRICATIVE,uriel,
INV_VOICED_ALVEOLAR_PLOSIVE,uriel,
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_DENTAL_FRICATIVE,uriel,
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOLAR_LATERAL_FRICATIVE,uriel,
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOPALATAL_FRICATIVE,uriel,
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_POSTALVEOLAR_FRICATIVE,uriel,
INV_CLOSE_MID_FRONT_UNROUNDED_VOWEL,uriel,
INV_VOICELESS_LABIODENTAL_FRICATIVE,uriel,
INV_VOICELESS_GLOTTAL_FRICATIVE,uriel,
INV_CLOSE_FRONT_UNROUNDED_VOWEL,uriel,
INV_PALATAL_APPROXIMANT,uriel,
INV_VOICELESS_VELAR_PLOSIVE,uriel,
INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_BILABIAL_PLOSIVE,uriel,
INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_VELAR_FRICATIVE,uriel,
INV_ALVEOLAR_LATERAL_APPROXIMANT,uriel,
INV_BILABIAL_NASAL,uriel,
INV_ALVEOLAR_NASAL,uriel,
INV_CLOSE_MID_BACK_UNROUNDED_VOWEL,uriel,
INV_VOICELESS_BILABIAL_PLOSIVE,uriel,
INV_VOICELESS_BILABIAL_PLOSIVE_WITH_VOICELESS_LABIODENTAL_FRICATIVE,uriel,
INV_VOICELESS_BILABIAL_PLOSIVE_WITH_VOICELESS_ALVEOLAR_PLOSIVE,uriel,
INV_VOICELESS_BILABIAL_PLOSIVE_WITH_VOICELESS_BILABIAL_FRICATIVE,uriel,
INV_VOICELESS_UVULAR_PLOSIVE,uriel,
INV_VOICELESS_UVULAR_PLOSIVE_WITH_VOICED_UVULAR_FRICATIVE,uriel,
INV_ALVEOLAR_TRILL,uriel,
INV_VOICELESS_ALVEOLAR_FRICATIVE,uriel,
INV_VOICELESS_ALVEOLAR_PLOSIVE,uriel,
INV_VOICELESS_ALVEOLAR_PLOSIVE_WITH_VOICELESS_ALVEOLAR_FRICATIVE,uriel,
INV_VOICELESS_ALVEOLAR_PLOSIVE_WITH_VOICELESS_ALVEOPALATAL_FRICATIVE,uriel,
INV_VOICELESS_ALVEOLAR_PLOSIVE_WITH_VOICELESS_ALVEOLAR_LATERAL_FRICATIVE,uriel,
INV_VOICELESS_ALVEOLAR_PLOSIVE_WITH_VOICELESS_DENTAL_FRICATIVE,uriel,
INV_CLOSE_BACK_ROUNDED_VOWEL,uriel,
INV_VOICED_LABIODENTAL_FRICATIVE,uriel,
INV_VOICED_LABIAL_VELAR_APPROXIMANT,uriel,
INV_VOICELESS_VELAR_FRICATIVE,uriel,
INV_CLOSE_FRONT_ROUNDED_VOWEL,uriel,
INV_OPEN_OPEN_MID_FRONT_UNROUNDED_VOWEL,uriel,
INV_VOICELESS_PALATAL_FRICATIVE,uriel,
INV_VOICED_DENTAL_FRICATIVE,uriel,
INV_CLOSE_MID_FRONT_ROUNDED_VOWEL,uriel,
INV_VOICELESS_PHARYNGEAL_FRICATIVE,uriel,
INV_VELAR_NASAL,uriel,
INV_OPEN_MID_FRONT_ROUNDED_VOWEL,uriel,
INV_OPEN_OPEN_MID_CENTRAL_UNROUNDED_VOWEL,uriel,
INV_OPEN_BACK_UNROUNDED_VOWEL,uriel,
INV_OPEN_BACK_ROUNDED_VOWEL,uriel,
INV_VOICED_BILABIAL_IMPLOSIVE,uriel,
INV_OPEN_MID_BACK_ROUNDED_VOWEL,uriel,
INV_VOICELESS_ALVEOPALATAL_FRICATIVE,uriel,
INV_VOICED_RETROFLEX_PLOSIVE,uriel,
INV_VOICED_RETROFLEX_PLOSIVE_WITH_VOICED_RETROFLEX_FRICATIVE,uriel,
INV_VOICED_ALVEOLAR_IMPLOSIVE,uriel,
INV_CLOSE_MID_CENTRAL_UNROUNDED_VOWEL,uriel,
INV_MID_CENTRAL_UNROUNDED_VOWEL,uriel,
INV_OPEN_MID_FRONT_UNROUNDED_VOWEL,uriel,
INV_OPEN_MID_CENTRAL_UNROUNDED_RHOTIC_VOWEL,uriel,
INV_OPEN_MID_CENTRAL_ROUNDED_VOWEL,uriel,
INV_VOICED_PALATAL_PLOSIVE,uriel,
INV_VOICED_PALATAL_PLOSIVE_WITH_VOICED_PALATAL_FRICATIVE,uriel,
INV_VOICED_VELAR_IMPLOSIVE,uriel,
INV_VOICED_VELAR_PLOSIVE_WITH_VOICED_BILABIAL_PLOSIVE,uriel,
INV_VOICED_VELAR_PLOSIVE_WITH_VOICED_VELAR_FRICATIVE,uriel,
INV_VOICED_UVULAR_PLOSIVE,uriel,
INV_VOICED_VELAR_FRICATIVE,uriel,
INV_VOICED_LABIAL_PALATAL_APPROXIMANT,uriel,
INV_VOICED_GLOTTAL_FRICATIVE,uriel,
INV_VOICELESS_POSTALVEOLAR_VELAR_FRICATIVE,uriel,
INV_CLOSE_CENTRAL_UNROUNDED_VOWEL,uriel,
INV_CLOSE_CLOSE_MID_HIGH_FRONT_UNROUNDED_VOWEL,uriel,
INV_VOICED_VELARIZED_LATERAL_APPROXIMANT,uriel,
INV_VOICELESS_ALVEOLAR_LATERAL_FRICATIVE,uriel,
INV_VOICED_RETROFLEX_LATERAL_APPROXIMANT,uriel,
INV_VOICED_ALVEOLAR_LATERAL_FRICATIVE,uriel,
INV_CLOSE_BACK_UNROUNDED_VOWEL,uriel,
INV_VELAR_APPROXIMANT,uriel,
INV_LABIODENTAL_NASAL,uriel,
INV_PALATAL_NASAL,uriel,
INV_RETROFLEX_NASAL,uriel,
INV_UVULAR_NASAL,uriel,
INV_CLOSE_MID_CENTRAL_ROUNDED_VOWEL,uriel,
INV_OPEN_FRONT_ROUNDED_VOWEL,uriel,
INV_VOICELESS_BILABIAL_FRICATIVE,uriel,
INV_ALVEOLAR_APPROXIMANT,uriel,
INV_VOICED_ALVEOLAR_LATERAL_FLAP,uriel,
INV_RETROFLEX_APPROXIMANT,uriel,
INV_RETROFLEX_FLAP,uriel,
INV_ALVEOLAR_TAP,uriel,
INV_UVULAR_TRILL,uriel,
INV_UVULAR_APPROXIMANT,uriel,
INV_VOICELESS_RETROFLEX_FRICATIVE,uriel,
INV_VOICELESS_POSTALVEOLAR_FRICATIVE,uriel,
INV_VOICED_PALATAL_IMPLOSIVE,uriel,
INV_VOICELESS_RETROFLEX_PLOSIVE,uriel,
INV_VOICELESS_RETROFLEX_PLOSIVE_WITH_VOICELESS_RETROFLEX_FRICATIVE,uriel,
INV_CLOSE_CENTRAL_ROUNDED_VOWEL,uriel,
INV_LABIODENTAL_APPROXIMANT,uriel,
INV_LABIODENTAL_FLAP,uriel,
INV_OPEN_MID_BACK_UNROUNDED_VOWEL,uriel,
INV_VOICELESS_LABIO_VELAR_FRICATIVE,uriel,
INV_PALATAL_LATERAL_APPROXIMANT,uriel,
INV_CLOSE_CLOSE_MID_HIGH_FRONT_ROUNDED_VOWEL,uriel,
INV_VOICED_RETROFLEX_FRICATIVE,uriel,
INV_VOICED_ALVEOPALATAL_FRICATIVE,uriel,
INV_VOICED_POSTALVEOLAR_FRICATIVE,uriel,
INV_GLOTTAL_PLOSIVE,uriel,
INV_VOICED_PHARYNGEAL_FRICATIVE,uriel,
INV_VOICED_BILABIAL_TRILL,uriel,
INV_VOICED_PALATAL_FRICATIVE,uriel,
INV_VELAR_LATERAL_APPROXIMANT,uriel,
INV_VOICED_BILABIAL_FRICATIVE,uriel,
INV_VOICELESS_DENTAL_FRICATIVE,uriel,
INV_VOICED_UVULAR_FRICATIVE,uriel,
INV_PLACE_LABIAL,uriel,
INV_PLACE_PALATALIZED_LAB,uriel,
INV_PLACE_LABIOVELARIZED_LAB,uriel,
INV_PLACE_LABIOVELAR,uriel,
INV_PLACE_MANNER_LABIOVELAR_OBS,uriel,
INV_PLACE_DENTAL,uriel,
INV_PLACE_LABIOVELARIZED_ALVEOLAR,uriel,
INV_PLACE_ALVEOLAR,uriel,
INV_PLACE_PALATOALVEOLAR,uriel,
INV_PLACE_ALVEOPALATAL,uriel,
INV_PLACE_PALATAL,uriel,
INV_PLACE_RETROFLEX,uriel,
INV_PLACE_MANNER_RETROFLEX_OBS,uriel,
INV_PLACE_VELAR,uriel,
INV_PLACE_PALATALIZED_VELAR,uriel,
INV_PLACE_LABIOVELARIZED_VELAR,uriel,
INV_PLACE_UVULAR,uriel,
INV_PLACE_PHAR_EPIGLOTTAL,uriel,
INV_PLACE_GLOTTAL,uriel,
INV_PLACE_FRONT_ROUND,uriel,
