X,"code","glottocode"
0,"adz","adze1240"
1,"ain","ainu1240"
2,"aka","akan1250"
3,"akz","alab1237"
4,"ale","aleu1260"
5,"alh","alaw1244"
6,"als","tosk1239"
7,"amc","amah1246"
8,"ame","yane1238"
9,"amh","amha1245"
10,"anc","ngas1240"
11,"ant","anta1253"
12,"apn","apin1244"
13,"arn","mapu1245"
14,"ary","moro1292"
15,"arz","egyp1253"
16,"auy","awiy1238"
17,"awn","awng1244"
18,"ayr","cent2142"
19,"azb","sout2697"
20,"bao","waim1255"
21,"ben","beng1280"
22,"beq","beem1239"
23,"bre","bret1244"
24,"bsk","buru1296"
25,"btx","bata1293"
26,"bul","bulg1262"
27,"cao","chac1251"
28,"car","gali1262"
29,"cbi","chac1249"
30,"cha","cham1312"
31,"chf","taba1266"
32,"chp","chip1261"
33,"chv","chuv1255"
34,"cja","west2650"
35,"ckt","chuk1273"
36,"cmn","mand1415"
37,"cni","asha1243"
38,"crb","isla1278"
39,"dag","dagb1246"
40,"dap","nisi1239"
41,"deu","stan1295"
42,"dih","kumi1248"
43,"ell","mode1248"
44,"eng","stan1293"
45,"eus","basq1248"
46,"eve","even1260"
47,"ewe","ewee1241"
48,"fia","nobi1240"
49,"fin","finn1318"
50,"fra","stan1290"
51,"gaa","gaaa1244"
52,"gaj","gads1258"
53,"gbp","gbay1287"
54,"gle","iris1253"
55,"grt","garo1247"
56,"guc","wayu1243"
57,"gug","para1311"
58,"hak","hakk1236"
59,"hau","haus1257"
60,"haw","hawa1245"
61,"hdn","nort2938"
62,"heb","hebr1245"
63,"hin","hind1269"
64,"hop","hopi1249"
65,"hun","hung1274"
66,"hup","hupa1239"
67,"hye","nucl1235"
68,"iai","iaai1238"
69,"ibo","nucl1417"
70,"ign","igna1246"
71,"irk","iraq1241"
72,"isl","icel1247"
73,"ito","iton1250"
74,"ium","iumi1238"
75,"jav","java1254"
76,"jiv","shua1257"
77,"jpn","nucl1643"
78,"kal","kala1399"
79,"kas","kash1277"
80,"kat","nucl1302"
81,"kbd","kaba1278"
82,"kca","khan1273"
83,"ket","kett1243"
84,"kfe","kota1263"
85,"kha","khas1269"
86,"khk","halh1238"
87,"khl","lusi1240"
88,"khm","cent1989"
89,"khr","khar1287"
90,"kir","kirg1245"
91,"kjn","kunj1245"
92,"kmo","kwom1262"
93,"knc","cent2050"
94,"kor","kore1280"
95,"kpv","komi1268"
96,"kru","kuru1301"
97,"ksw","sgaw1245"
98,"kup","kuni1267"
99,"kwk","kwak1269"
100,"kyh","karo1304"
101,"lbc","lakk1238"
102,"lbe","lakk1252"
103,"lgg","lugb1240"
104,"lhu","lahu1253"
105,"lit","lith1251"
106,"lkt","lako1247"
107,"lue","luva1239"
108,"lui","luis1253"
109,"luo","luok1236"
110,"maq","chiq1250"
111,"mas","masa1300"
112,"maz","cent2144"
113,"mhr","east2328"
114,"mig","sanm1295"
115,"mlt","malt1254"
116,"mph","maun1240"
117,"mri","maor1246"
118,"mrt","marg1265"
119,"mya","nucl1310"
120,"naq","nama1264"
121,"nas","naas1242"
122,"nav","nava1243"
123,"nez","nezp1238"
124,"niv","gily1242"
125,"nmu","nort2952"
126,"nna","nyan1301"
127,"nob","norw1259"
128,"noo","noot1239"
129,"nuy","nung1290"
130,"oca","ocai1244"
131,"ojg","east2542"
132,"one","onei1249"
133,"ood","toho1245"
134,"ote","mezq1235"
135,"pan","panj1256"
136,"pbb","paez1247"
137,"pcc","bouy1240"
138,"pes","west2369"
139,"plt","plat1254"
140,"pom","sout2982"
141,"por","port1283"
142,"pst","cent1973"
143,"quh","sout2991"
144,"rif","tari1263"
145,"ron","roma1327"
146,"rus","russ1263"
147,"sah","yaku1245"
148,"sed","seda1262"
149,"see","sene1264"
150,"ses","koyr1242"
151,"set","nucl1632"
152,"sin","sinh1246"
153,"snv","saba1265"
154,"som","soma1255"
155,"spa","stan1288"
156,"spl","sele1250"
157,"squ","squa1248"
158,"srq","siri1273"
159,"str","stra1244"
160,"sun","sund1252"
161,"swh","swah1253"
162,"tay","atay1247"
163,"tca","ticu1245"
164,"tel","telu1262"
165,"tew","tewa1260"
166,"tgl","taga1270"
167,"tha","thai1261"
168,"tig","tigr1270"
169,"tix","sout2961"
170,"tlf","tele1256"
171,"tml","tamn1235"
172,"tol","tolo1259"
173,"top","papa1238"
174,"tsz","pure1242"
175,"tun","tuni1252"
176,"tur","nucl1301"
177,"tzh","tzel1254"
178,"unm","unam1242"
179,"unr","mund1320"
180,"vie","viet1252"
181,"wap","wapi1253"
182,"wic","wich1260"
183,"wim","wikm1247"
184,"wol","nucl1347"
185,"wuu","wuch1236"
186,"xpe","libe1247"
187,"xtc","katc1249"
188,"yrk","nene1249"
189,"yuc","yuch1247"
190,"yue","yuec1235"
191,"yux","sout2750"
192,"zmr","mara1386"
193,"zoc","copa1236"
194,"zsm","stan1306"
195,"zul","zulu1248"
196,"zun","zuni1245"
197,"abq","abaz1241"
198,"ace","achi1257"
199,"ady","adyg1241"
200,"afb","gulf1241"
201,"afr","afri1274"
202,"agn","agut1237"
203,"alb",NA
204,"apc","nort3139"
205,"aun","molm1235"
206,"aym","nucl1667"
207,"bag","tuki1240"
208,"bam","bamb1269"
209,"bas","basa1284"
210,"bax","bamu1253"
211,"bbj","ghom1247"
212,"bbk","baba1266"
213,"bcj","bard1255"
214,"bdr","west2560"
215,"bft","balt1258"
216,"bkm","komc1235"
217,"bla","siks1238"
218,"bnn","bunu1267"
219,"bol","nucl1695"
220,"bqj","band1340"
221,"bxk","buku1249"
222,"byv","medu1238"
223,"cab","gari1256"
224,"cat","stan1289"
225,"cbk","chav1241"
226,"ces","czec1258"
227,"cic","chic1270"
228,"cti","chol1285"
229,"cym","wels1247"
230,"dds","donn1239"
231,"dga","sout2789"
232,"dic","lako1244"
233,"dig","digo1243"
234,"djr","djam1256"
235,"dne","nden1249"
236,"dnk","deng1253"
237,"dnw","west2594"
238,"dum","midd1321"
239,"ekk","esto1258"
240,"enm","midd1317"
241,"ewo","ewon1239"
242,"fao","faro1244"
243,"fij","fiji1243"
244,"fmp","fefe1239"
245,"fro","oldf1239"
246,"fry","west2354"
247,"gdm","laal1242"
248,"git","gitx1241"
249,"gla","scot1245"
250,"glg","gali1258"
251,"got","goth1244"
252,"grc","anci1242"
253,"gre",NA
254,"gsw","swis1247"
255,"gur","fare1241"
256,"guw","gunn1250"
257,"hag","hang1258"
258,"hat","hait1244"
259,"hit","hitt1242"
260,"hix","hixk1239"
261,"hrv","croa1245"
262,"huc","hoaa1235"
263,"ibb","ibib1240"
264,"igl","igal1242"
265,"ihp","ihaa1241"
266,"ilo","ilok1237"
267,"ind","indo1316"
268,"ita","ital1282"
269,"jaa","jama1261"
270,"jam","jama1262"
271,"jay","yann1237"
272,"jig","djin1251"
273,"kan","nucl1305"
274,"kek","kekc1242"
275,"ken","keny1279"
276,"kgg","kusu1250"
277,"khc","tuka1248"
278,"kjb","qanj1241"
279,"kju","kash1280"
280,"kma","konn1242"
281,"knf","mank1251"
282,"koh","koyo1242"
283,"krc","kara1465"
284,"kto","kuot1243"
285,"kur","kurd1259"
286,"laj","lang1324"
287,"lao","laoo1244"
288,"lat","lati1261"
289,"lax","tiwa1253"
290,"lgm","lega1250"
291,"lil","lill1248"
292,"lwg","wang1294"
293,"mah","mars1254"
294,"mal","mala1464"
295,"mff","naki1238"
296,"mkf","miya1266"
297,"mlg",NA
298,"mls","nucl1440"
299,"mni","mani1292"
300,"mqb","mbuk1243"
301,"mtj","mosk1236"
302,"muy","muya1243"
303,"mxu","mada1293"
304,"nan",NA
305,"nap","neap1235"
306,"nch","cent2134"
307,"nci","clas1250"
308,"ndv","ndut1239"
309,"nep","east1436"
310,"ngh","nngg1234"
311,"nhb","beng1286"
312,"niu","niue1239"
313,"nld","dutc1256"
314,"nmz","nawd1238"
315,"nnb","nand1264"
316,"nod","nort2740"
317,"non","oldn1244"
318,"nor","norw1258"
319,"nup","nupe1254"
320,"nwe","ngwe1238"
321,"nya","nyan1308"
322,"nyn","nyan1307"
323,"oci","occi1239"
324,"ori",NA
325,"oss","iron1242"
326,"osx","olds1250"
327,"pdu","kaya1315"
328,"ple","palu1252"
329,"pmy","papu1250"
330,"pnt","pont1253"
331,"pol","poli1260"
332,"qqs",NA
333,"quc","kich1262"
334,"qvi","imba1240"
335,"rom","roma1329"
336,"ruo","istr1245"
337,"ryu","cent2126"
338,"sad","sand1273"
339,"sas","sasa1249"
340,"scn","sici1248"
341,"shn","shan1277"
342,"skv","nucl1634"
343,"slv","slov1268"
344,"smo","samo1305"
345,"srm","sara1340"
346,"srp","serb1264"
347,"swe","swed1254"
348,"swr","sawe1240"
349,"syn","sena1268"
350,"tli","tlin1245"
351,"ton","tong1325"
352,"tpi","tokp1240"
353,"trc","copa1237"
354,"ttv","tita1241"
355,"twi","twii1234"
356,"txb","tokh1243"
357,"tyv","tuvi1240"
358,"udm","udmu1245"
359,"uig","uigh1240"
360,"ukr","ukra1253"
361,"vec","vene1258"
362,"vsn",NA
363,"wan","wann1242"
364,"wbp","warl1254"
365,"wle","wola1253"
366,"wmd","mama1278"
367,"xcl","clas1249"
368,"xto","tokh1242"
369,"yaf","yaka1269"
370,"ybb","yemb1246"
371,"yid",NA
372,"yor","yoru1245"
373,"yva","nucl1454"
374,"ztu","guil1236"
375,"abi","abid1235"
376,"ada","adan1247"
377,"adj","adio1239"
378,"ahl","igoo1238"
379,"ajg","ajab1235"
380,"apd","suda1236"
381,"avu","avok1242"
382,"bav","veng1238"
383,"bba","baat1238"
384,"bbo","nort2819"
385,"bci","baou1238"
386,"beh","bial1238"
387,"bex","jurm1239"
388,"bfd","bafu1246"
389,"bfl","band1345"
390,"bhy","bhel1238"
391,"bib","biss1248"
392,"bim","bimo1239"
393,"bin","bini1246"
394,"bkc","baka1272"
395,"bkv","bekw1241"
396,"bom","bero1242"
397,"bqc","boko1266"
398,"bqx","baan1242"
399,"bsq","nucl1418"
400,"bss","akoo1248"
401,"btg","gagn1235"
402,"bud","ntch1242"
403,"bum","bulu1251"
404,"bza","band1352"
405,"bzx","hain1253"
406,"cko","anuf1239"
407,"cme","cerm1238"
408,"daf","dann1241"
409,"dbq","nucl1683"
410,"dgi","nort2780"
411,"dje","zarm1239"
412,"dop","lukp1238"
413,"dow","doya1240"
414,"dts","toro1252"
415,"dua","dual1243"
416,"dug","duru1249"
417,"dyo","jola1263"
418,"dyu","dyul1238"
419,"dzg","daza1242"
420,"ema","emai1241"
421,"emk","east2426"
422,"enn","enge1239"
423,"etu","ejag1239"
424,"ffm","maas1239"
425,"flr","fuli1240"
426,"fon","fonn1241"
427,"fub","adam1253"
428,"fuc","pula1263"
429,"fuf","pula1262"
430,"fuh","west2454"
431,"fuq","cent2018"
432,"gbo","nort2810"
433,"gde","gude1246"
434,"gej","genn1243"
435,"gjn","gonj1241"
436,"gkp","guin1254"
437,"gnd","zulg1242"
438,"gng","ngan1299"
439,"god","godi1239"
440,"gux","gour1243"
441,"gya","nort2775"
442,"ife","ifee1241"
443,"igb","ebir1243"
444,"ige","iged1239"
445,"ijs","sout2774"
446,"izi","izie1238"
447,"kbp","kabi1261"
448,"kdh","temm1241"
449,"khq","koyr1240"
450,"kik","kiku1240"
451,"kkj","kako1242"
452,"kmw","komo1260"
453,"kqs","nort2765"
454,"kri","krio1253"
455,"krs","gbay1288"
456,"kuj","kuri1259"
457,"kus","kusa1250"
458,"kza","west2466"
459,"kzr","kara1478"
460,"las","lama1275"
461,"led","lend1245"
462,"lee","lyel1241"
463,"lem","noma1260"
464,"lia","west2450"
465,"lig","ligb1244"
466,"lin","ling1263"
467,"lln","lele1276"
468,"lmp","limb1268"
469,"lns","lamn1239"
470,"lok","loko1255"
471,"lom","loma1260"
472,"lor","teen1242"
473,"lug","gand1255"
474,"maw","mamp1244"
475,"mbo","mboc1235"
476,"mcp","maka1304"
477,"mcu","came1252"
478,"mdj","mang1394"
479,"men","mend1266"
480,"mfn","cros1244"
481,"mgo","meta1238"
482,"mhi","madi1260"
483,"mif","mofu1248"
484,"mkw","kitu1245"
485,"mlq","west2500"
486,"mnf","mund1327"
487,"moa","mwan1250"
488,"mos","moss1236"
489,"mtb","anyi1244"
490,"muh","mund1326"
491,"mur","murl1244"
492,"mwk","kita1249"
493,"myk","mama1271"
494,"mzk","nige1255"
495,"mzw","degg1238"
496,"ncu","chum1261"
497,"neb","tour1242"
498,"nfr","nafa1258"
499,"nga","ngba1285"
500,"ngb","nort2774"
501,"nnh","ngie1241"
502,"nuv","nort2784"
503,"nwb","nyab1255"
504,"ozm","koon1245"
505,"pbi","park1239"
506,"pil","yomm1242"
507,"rel","rend1243"
508,"sag","sang1328"
509,"sba","ngam1268"
510,"seq","sena1262"
511,"sld","siss1242"
512,"snk","soni1259"
513,"spy","saba1262"
514,"srr","sere1260"
515,"sur","mwag1236"
516,"sus","susu1250"
517,"taq","tama1365"
518,"tbz","dita1238"
519,"ted","tepo1239"
520,"tem","timn1235"
521,"tfi","tofi1235"
522,"tik","tika1246"
523,"toq","topo1242"
524,"tsp","nort2787"
525,"ttq","tawa1286"
526,"tuq","teda1241"
527,"vag","vagl1239"
528,"vut","vute1244"
529,"wob","weno1238"
530,"wwa","waam1244"
531,"xon","konk1269"
532,"xsm","kase1253"
533,"yam","yamb1251"
534,"yas","nugu1242"
535,"yat","yamb1252"
536,"yer","taro1263"
537,"yre","yaou1238"
538,"zne","zand1248"
539,"adl","galo1242"
540,"apq","apuc1241"
541,"apt","apat1240"
542,"asm","assa1263"
543,"awa","awad1243"
544,"bfq","bada1257"
545,"bfw","bond1245"
546,"bhb","bhil1251"
547,"bkk","brok1247"
548,"bns","bund1253"
549,"bwo","boro1277"
550,"cdn","chau1259"
551,"drd","darm1243"
552,"gaq","gata1239"
553,"gau","mudh1235"
554,"gbj","bodo1267"
555,"gda","gade1236"
556,"gdb","pott1240"
557,"gju","guja1253"
558,"guj","guja1252"
559,"hlb","halb1244"
560,"hoc","hooo1248"
561,"iru","irul1243"
562,"jns","jaun1243"
563,"jun","juan1238"
564,"kfa","koda1255"
565,"kfb","nort2699"
566,"kfc","kond1295"
567,"kfd","korr1238"
568,"kff","koya1251"
569,"kfq","kork1243"
570,"kfy","kuma1273"
571,"knn","konk1267"
572,"kxu","kuii1252"
573,"kxv","kuvi1243"
574,"lae","patt1248"
575,"lbj","lada1244"
576,"lep","lepc1244"
577,"lmn","lamb1269"
578,"lus","lush1249"
579,"mai","mait1250"
580,"mar","mara1378"
581,"mjt","saur1249"
582,"mjw","karb1241"
